,date,rain,temp,wind,humidity
0,2013/1/1 1:00:00,0.0,-0.2,1.2,75
1,2013/1/1 2:00:00,0.0,-0.6,1.1,78
2,2013/1/1 3:00:00,0.0,-1.0,1.0,79
3,2013/1/1 4:00:00,0.0,-0.9,1.2,78
4,2013/1/1 5:00:00,0.0,-0.9,1.4,79
5,2013/1/1 6:00:00,0.0,-0.6,1.7,78
6,2013/1/1 7:00:00,0.0,-0.6,2.6,78
7,2013/1/1 8:00:00,0.0,0.1,1.1,76
8,2013/1/1 9:00:00,0.0,2.2,2.2,66
9,2013/1/1 10:00:00,0.0,3.3,0.8,56
10,2013/1/1 11:00:00,0.0,5.0,0.7,51
11,2013/1/1 12:00:00,0.0,7.8,1.3,50
12,2013/1/1 13:00:00,0.0,9.0,1.6,44
13,2013/1/1 14:00:00,0.0,8.5,1.9,47
14,2013/1/1 15:00:00,0.0,8.9,2.7,47
15,2013/1/1 16:00:00,0.0,8.3,1.6,52
16,2013/1/1 17:00:00,0.0,8.0,0.7,55
17,2013/1/1 18:00:00,0.0,7.2,0.9,59
18,2013/1/1 19:00:00,0.0,6.7,1.1,64
19,2013/1/1 20:00:00,0.0,6.4,1.0,67
20,2013/1/1 21:00:00,0.0,6.0,1.0,72
21,2013/1/1 22:00:00,0.0,5.8,1.3,72
22,2013/1/1 23:00:00,0.0,5.3,1.2,76
23,2013/1/2 00:00:00,0.0,5.1,1.1,77
24,2013/1/2 1:00:00,0.0,4.9,0.9,80
25,2013/1/2 2:00:00,0.0,4.4,1.4,82
26,2013/1/2 3:00:00,0.0,4.0,1.6,84
27,2013/1/2 4:00:00,0.0,3.6,1.4,87
28,2013/1/2 5:00:00,0.0,3.4,1.0,88
29,2013/1/2 6:00:00,0.0,3.2,1.9,89
30,2013/1/2 7:00:00,0.0,2.8,1.1,90
31,2013/1/2 8:00:00,0.0,3.0,1.7,89
32,2013/1/2 9:00:00,0.0,4.8,1.0,81
33,2013/1/2 10:00:00,0.0,7.3,1.2,70
34,2013/1/2 11:00:00,0.0,10.0,0.7,58
35,2013/1/2 12:00:00,0.0,11.8,1.0,49
36,2013/1/2 13:00:00,0.0,13.7,2.4,41
37,2013/1/2 14:00:00,0.0,13.9,2.7,38
38,2013/1/2 15:00:00,0.0,13.0,5.3,39
39,2013/1/2 16:00:00,0.0,12.2,3.9,44
40,2013/1/2 17:00:00,0.0,11.1,3.6,46
41,2013/1/2 18:00:00,0.0,9.3,1.7,56
